time,Label,Storm_id,lat,lon,speed_ms,speed_kt,heading_deg
2020-10-04 09:00:00,hurricane,Hurricane_Delta,,,,,
2020-10-04 12:00:00,hurricane,Hurricane_Delta,,,,,
2020-10-04 15:00:00,hurricane,Hurricane_Delta,,,,,
2020-10-04 18:00:00,hurricane,Hurricane_Delta,17.0,-76.0,,,
2020-10-04 21:00:00,hurricane,Hurricane_Delta,17.0,-76.0,0.0,0.0,0.0
2020-10-05 00:00:00,hurricane,Hurricane_Delta,17.0,-76.0,0.0,0.0,0.0
2020-10-05 03:00:00,hurricane,Hurricane_Delta,17.0,-76.0,0.0,0.0,0.0
2020-10-05 06:00:00,hurricane,Hurricane_Delta,17.0,-76.0,0.0,0.0,0.0
2020-10-05 09:00:00,hurricane,Hurricane_Delta,17.0,-76.0,0.0,0.0,0.0
2020-10-05 12:00:00,hurricane,Hurricane_Delta,17.0,-76.0,0.0,0.0,0.0
2020-10-05 15:00:00,hurricane,Hurricane_Delta,17.0,-76.0,0.0,0.0,0.0
2020-10-05 18:00:00,hurricane,Hurricane_Delta,17.0,-76.0,0.0,0.0,0.0
2020-10-05 21:00:00,hurricane,Hurricane_Delta,17.0,-76.0,0.0,0.0,0.0
2020-10-06 00:00:00,hurricane,Hurricane_Delta,17.0,-76.0,0.0,0.0,0.0
2020-10-06 03:00:00,hurricane,Hurricane_Delta,17.0,-76.0,0.0,0.0,0.0
2020-10-06 06:00:00,hurricane,Hurricane_Delta,17.0,-76.0,0.0,0.0,0.0
2020-10-06 09:00:00,hurricane,Hurricane_Delta,17.0,-76.0,0.0,0.0,0.0
2020-10-06 12:00:00,hurricane,Hurricane_Delta,17.0,-76.0,0.0,0.0,0.0
2020-10-06 15:00:00,hurricane,Hurricane_Delta,17.0,-76.0,0.0,0.0,0.0
2020-10-06 18:00:00,hurricane,Hurricane_Delta,17.8,-82.6,65.36014873481552,127.04967151668382,278.21908506381544
2020-10-06 21:00:00,hurricane,Hurricane_Delta,18.2,-83.2,7.174802678362974,13.946668438309084,305.1218938053199
2020-10-07 00:00:00,hurricane,Hurricane_Delta,18.5,-83.7,5.78054621403359,11.236456952687053,302.37728634357325
2020-10-07 03:00:00,hurricane,Hurricane_Delta,18.8,-84.1,4.976595923889024,9.67370622069244,308.4277285792547
2020-10-07 06:00:00,hurricane,Hurricane_Delta,19.1,-84.5,4.971149004233781,9.663118280389792,308.4784303934681
2020-10-07 09:00:00,hurricane,Hurricane_Delta,19.4,-84.9,4.965622219984624,9.65237509609491,308.5300058644456
2020-10-07 12:00:00,hurricane,Hurricane_Delta,19.7,-85.3,4.960015911272778,9.641477328968477,308.58245898007357
2020-10-07 15:00:00,hurricane,Hurricane_Delta,20.0,-85.9,6.580399125843192,12.79124303677903,298.09602957479404
2020-10-07 18:00:00,hurricane,Hurricane_Delta,20.3,-86.5,6.570632731306773,12.772258728423358,298.1427854069974
2020-10-07 21:00:00,hurricane,Hurricane_Delta,20.6,-87.0,5.727671141951363,11.133676272570737,302.7209021524427
2020-10-08 00:00:00,hurricane,Hurricane_Delta,20.9,-87.5,5.719686809898085,11.118156008552294,302.773357987174
2020-10-08 03:00:00,hurricane,Hurricane_Delta,21.2,-88.0,5.711596047268781,11.102428860522947,302.82667052764384
2020-10-08 06:00:00,hurricane,Hurricane_Delta,21.5,-88.5,5.703399290280969,11.086495676419759,302.88084491865993
2020-10-08 09:00:00,hurricane,Hurricane_Delta,21.9,-89.1,7.064326585971661,13.731920590875154,305.7706338666714
2020-10-08 12:00:00,hurricane,Hurricane_Delta,22.3,-89.7,7.051263009988695,13.706527089336424,305.84877560133157
2020-10-08 15:00:00,hurricane,Hurricane_Delta,22.8,-90.2,7.007455526931484,13.621372351470496,317.3717279258306
2020-10-08 18:00:00,hurricane,Hurricane_Delta,23.3,-90.7,6.995655776305147,13.598435524212997,317.47848332173595
2020-10-08 21:00:00,hurricane,Hurricane_Delta,23.8,-91.1,6.383879426789705,12.409240184970901,323.82453165045536
2020-10-25 00:00:00,hurricane,Hurricane_Goni,,,,,
2020-10-25 03:00:00,hurricane,Hurricane_Goni,,,,,
2020-10-25 06:00:00,hurricane,Hurricane_Goni,,,,,
2020-10-25 09:00:00,hurricane,Hurricane_Goni,,,,,
2020-10-25 12:00:00,hurricane,Hurricane_Goni,,,,,
2020-10-25 15:00:00,hurricane,Hurricane_Goni,,,,,
2020-10-25 18:00:00,hurricane,Hurricane_Goni,,,,,
2020-10-25 21:00:00,hurricane,Hurricane_Goni,,,,,
2020-10-26 00:00:00,hurricane,Hurricane_Goni,,,,,
2020-10-26 03:00:00,hurricane,Hurricane_Goni,,,,,
2020-10-26 06:00:00,hurricane,Hurricane_Goni,,,,,
2020-10-26 09:00:00,hurricane,Hurricane_Goni,,,,,
2020-10-26 12:00:00,hurricane,Hurricane_Goni,14.1,141.7,,,
2020-10-26 15:00:00,hurricane,Hurricane_Goni,14.4,141.7,3.0887479623488607,6.004031839132209,0.0
2020-10-26 18:00:00,hurricane,Hurricane_Goni,14.7,141.8,3.245535148313328,6.30880104269738,17.86939066119379
2020-10-26 21:00:00,hurricane,Hurricane_Goni,15.0,141.7,3.245115361027863,6.307985043380401,342.15384881442003
2020-10-27 00:00:00,hurricane,Hurricane_Goni,15.3,141.60000000000002,3.244687739425955,6.307153815405749,342.1775525131863
2020-10-27 03:00:00,hurricane,Hurricane_Goni,15.6,141.60000000000002,3.088747962348843,6.004031839132175,0.0
2020-10-27 06:00:00,hurricane,Hurricane_Goni,15.8,141.5,2.285296461570969,4.442250673860113,334.30986708744575
2020-10-27 09:00:00,hurricane,Hurricane_Goni,16.0,141.3,2.856935184883335,5.553424889783622,316.1446167465253
2020-10-27 12:00:00,hurricane,Hurricane_Goni,16.2,141.0,3.612039095661076,7.021226075709826,304.7975790811084
